SALES DATA FOR PLANTATION;;;;;;
;STATIONERY;;COPIES;;;
DATE ;CASH;POS;CASH;POS;TOTAL;
2025/06/24;960,5;0;1860;0;2820,5;
2025/06/25;1426,8;0;1880;0;3306,8;
2025/06/26;487,45;466,45;1160;0;2113,9;
2025/06/27;195,15;44,85;1090;0;1330;
2025/06/28;250;0;430;0;680;
2025/06/30;404,3;435;2570;157,5;3566,8;
2025/07/02;608,15;1425,5;2100;0;4133,65;
2025/07/08;691,7;631,5;759,1;308;2390,3;
2025/07/09;397,5;29;1474;0;1900,5;
2025/07/10;944,8;0;1175,15;0;2119,95;
2025/07/11;617,95;0;1420;0;2037,95;
2025/07/15;162,05;276,5;1600;66,5;2105,05;
2025/07/16;975,75;77;950;45;2047,75;
2025/07/17;1127,5;460;1080;241;2908,5;
2025/07/18;194,6;111;990;27,5;1323,1;
2025/07/19;102,75;371;2258,75;0;2732,5;
2025/07/23;681,7;672;1710;214;3277,7;
2025/07/24;532,2;0;1070;0;1602,2;
2025/07/25;1010,2;8;1010;24;2052,2;
2025/07/26;606,35;0;450;0;1056,35;
2025/07/28;176,35;0;1860;0;2036,35;
2025/07/29;1057,2;50;280;276;1663,2;
2025/07/30;540,5;0;1500;316;2356,5;
2025/07/31;498,3;374;910;25;1807,3;
2025/08/01;395;992;746;188;2321;
2025/08/02;283,15;214,35;1240,95;0;1738,45;
2025/08/04;245,3;39,6;1383,05;395;2062,95;
2025/08/05;596,8;264,4;1462,35;214;2537,55;
2025/08/06;759,95;30;1232,75;141,5;2164,2;
2025/08/07;1356,45;1325;982,75;0;3664,2;
2025/08/08;452,85;116;391,5;0;960,35;
2025/08/13;445,5;21,5;1200,7;195;1862,7;
2025/08/14;132,15;0;971,5;39;1142,65;
2025/08/15;721,8;0;1030,8;0;1752,6;
2025/08/16;258,1;0;638,75;0;896,85;
2025/08/18;461,65;86,5;836,35;55,5;1440;
2025/08/19;592,55;0;984,55;0;1577,1;
2025/08/20;110,5;0;1123,55;0;1234,05;
2025/08/21;116,25;159;1239,2;100,5;1614,95;
2025/08/22;1399,25;36,5;1355,8;22,5;2814,05;
2025/08/23;221,75;0;870;0;1091,75;
2025/08/25;266,15;345;1045,65;401;2057,8;
2025/08/27;237,5;0;999,2;0;1236,7;
2025/08/28;210;0;1290,85;24;1524,85;
2025/08/29;282,55;0;1055;686,2;2023,75;
2025/08/30;110,15;0;322,95;43,5;476,6;
2025/09/01;358,9;0;1590;82;2030,9;
2025/09/02;916,6;0;1090,75;95;2102,35;
2025/09/03;875;0;1570;61,5;2506,5;
2025/09/04;508,6;108;1161,4;0;1778;
2025/09/05;465,3;0;2073,7;149;2688;
2025/09/06;450,4;0;1254,6;471;2176;
2025/09/08;628;489;1444,5;0;2561,5;
2025/09/09;939;0;1104,3;70,5;2113,8;
2025/09/10;1921,65;122;1508,65;189;3741,3;
2025/09/11;353,2;0;1740;49;2142,2;
2025/09/16;2949,7;0;1125;0;4074,7; 
2025/09/17;2087,6;0;600,35;0;2687,95;
2025/09/18;535,75;43;1484,25;26,5;2089,5;
2025/09/19;354;62;2779;0;3195;
2025/09/20;335,55;1024,5;564,95;95;2020;
2025/09/22;1842,65;33;1811,15;113,5;3800,3;
2025/09/23;2163,55;0;1043;175;3381,55;
2025/09/24;1288,8;285;762;82,7;2418,5;
2025/09/25;3065;82,5;432;0;3579,5;
2025/09/26;339,75;0;1849,25;457,5;2646,5;
2025/09/27;310,6;359,5;876,35;200;1746,45;
2025/10/02;96,7;482;2298,1;0;2876,8;
